"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00348900","2010","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1199.7","","1199.7","0","","","","","0","0","0","0","76","0","5","0","224","0","86","0","-14.4","0,0110,+","0",",0,1231,+","","","39.4","0,0813,","-1.7","0,1105","-3.3","0,1106","-4.4","0,1125","-7.2","0,1213","","","-1.1","0,0326","-4.4","0,0303","-4.4","0,0303","-7.2","0,0209","-14.4","0,0110","2044.2","","2044.2","0","964.2",",0","0",",0","16.33","0","22.64","0","10.02","0"
"USC00348900","2011","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1486.3","","1486.3","K","","","","","","","0","K","76","K","8","K","231","K","105","K","-16.7","K,0210,","","","","","44.4","K,0803,","-1.1","K,1104","-2.2","K,1117","-4.4","K,1206","-8.3","K,1207","","","-2.8","K,0405","-2.8","K,0405","-6.1","K,0212","-10.6","K,0211","-10.6","K,0211","1800.2","","1800.2","K","","","","","17.40","K","24.46","K","10.35","K"
"USC00348900","2012","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1277.0","","1277.0","7","","","","","","","0","7","62","7","3","7","247","7","101","7","-12.2","7,1211,","","","","","42.8","7,0809,+","-1.1","7,1008","-2.2","7,1028","-5.0","7,1113","-10.0","7,1210","-10.0","7,1210","-0.6","K,0304","-2.2","K,0221","-5.6","K,0212","-6.7","K,0118","","","1461.5","","1461.5","7","","","","","17.77","7","24.60","7","10.93","7"
"USC00348900","2013","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1115.3","","1115.3","7","","","","","","","0","7","80","7","2","7","202","7","81","7","-11.7","7,1207,","","","","","40.0","7,0901,","0.0","7,1107","-3.9","7,1112","-4.4","7,1113","-6.7","7,1127","-11.7","7,1207","-1.1","7,0425","-7.2","7,0326","-7.2","7,0326","-7.2","7,0326","","","1820.5","","1820.5","7","","","","","15.89","7","22.32","7","9.47","7"
"USC00348900","2015","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1113.5","","1113.5","7","","","","","","","0","7","62","7","4","7","224","7","85","7","-11.7","7,0108,","","","","","39.4","7,0807,","-2.8","7,1121","-2.8","7,1121","-5.6","7,1122","","","","","-4.4","7,0307","-4.4","7,0307","-4.4","7,0307","-6.7","7,0306","-8.9","7,0305","","","","","","","","","16.73","7","22.74","7","10.71","7"
"USC00348900","2016","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1190.5","","1190.5","7","91","7","55","7","","","0","7","55","7","1","7","229","7","87","7","-13.3","7,1218,","","","125.7",",7,0925,","38.9","7,0811,+","-2.2","7,1119","-2.2","7,1119","-6.1","7,1209","-10.0","7,1217","-10.0","7,1217","0.0","7,0328","-2.8","7,0321","-5.6","7,0226","-6.7","7,0117","","","1448.5","","1448.5","7","993.5",",7","","","17.52","7","23.70","7","11.34","7"
"USC00348900","2017","34.3326","-96.679","267.9","TISHOMINGO 6 N MESONET, OK US","1079.7","","1079.7","7","93","7","52","7","","","0","7","54","7","4","7","250","7","66","7","-16.1","7,0107,+","","","116.1",",7,0519,","37.2","7,0727,","0.0","7,1027","-2.2","7,1028","-8.3","7,1207","-8.3","7,1207","-13.3","7,1208","0.0","7,0315","-2.2","7,0314","-4.4","7,0127","-10.6","7,0108","-10.6","7,0108","1351.4","","1351.4","7","1081.8",",7","","","17.26","7","23.76","7","10.76","7"
