"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CPIH","2002","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","665.6","","665.6","U","0","U","47","U","1","U","181","U","59","U","-8.9","U,0130,","41.1","U,0709,","-0.6","U,1217","-2.8","U,1218","","","","","0.0","U,0501","-4.4","U,0318","-4.4","U,0318","-8.9","U,0130","-8.9","U,0130","1963.1","","1963.1","U","14.63","U","21.17","U","8.09","U"
"USR0000CPIH","2003","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","840.6","","840.6","U","0","U","48","U","0","U","182","U","75","U","-5.6","U,1227,","38.9","U,0717,","0.0","U,1031","-3.3","U,1122","-4.4","U,1226","","","-0.6","U,0509","-2.2","U,0405","","","","","","","2046.4","","2046.4","U","14.98","U","21.31","U","8.66","U"
"USR0000CPIH","2004","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","657.9","","657.9","U","0","U","49","U","0","U","190","U","49","U","-5.0","U,0104,","37.8","U,0811,","0.0","U,1029","-2.2","U,1128","","","","","0.0","U,0418","-2.8","U,0105","-5.0","U,0104","","","","","1892.4","","1892.4","U","14.57","U","20.78","U","8.37","U"
"USR0000CPIH","2005","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","635.8","","635.8","U","0","U","28","U","0","U","171","U","57","U","-2.8","U,0112,+","38.9","U,0716,+","-1.1","U,1126","-2.2","U,1127","","","","","0.0","U,0510","-2.8","U,0112","","","","","","","2242.8","","2242.8","U","14.46","U","20.80","U","8.13","U"
"USR0000CPIH","2006","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","665.7","","665.7","U","0","U","67","U","0","U","176","U","42","U","-6.7","U,0312,","38.3","U,0723,","0.0","U,1124","-2.8","U,1129","-4.4","U,1217","","","-0.6","U,0417","-3.9","U,0321","-4.4","U,0313","-6.7","U,0312","","","2019.2","","2019.2","U","14.24","U","20.30","U","8.18","U"
"USR0000CPIH","2007","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","633.8","","633.8","U","0","U","54","U","1","U","182","U","40","U","-8.9","U,0113,","40.0","U,0705,","0.0","U,1006","-2.2","U,1202","-4.4","U,1226","","","0.0","U,0419","-2.8","U,0328","-5.0","U,0301","-7.2","U,0114","-8.9","U,0113","1971.2","","1971.2","U","14.41","U","20.54","U","8.27","U"
"USR0000CPIH","2008","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","751.0","","751.0","U","0","U","58","U","0","U","184","U","55","U","-5.0","U,1227,+","37.8","U,0710,","0.0","U,1011","-2.8","U,1213","-5.0","U,1214","","","0.0","U,0421","-2.8","U,0316","-5.0","U,0129","","","","","2179.6","","2179.6","U","14.73","U","20.92","U","8.53","U"
"USR0000CPIH","2009","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","713.1","","713.1","U","0","U","50","U","0","U","176","U","60","U","-8.3","U,1208,","37.8","U,0719,","-1.1","U,1028","-7.8","U,1207","-7.8","U,1207","-7.8","U,1207","-0.6","U,0416","-3.9","U,0323","-5.6","U,0210","","","","","1951.5","","1951.5","U","14.49","U","20.58","U","8.39","U"
"USR0000CPIH","2010","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","600.5","","600.5","U","0","U","60","U","0","U","151","U","44","U","-6.1","U,1230,","39.4","U,0825,+","0.0","U,1109","-2.2","U,1124","-4.4","U,1125","","","-1.1","U,0511","-2.2","U,0401","","","","","","","2321.0","","2321.0","U","13.46","U","19.39","U","7.53","U"
"USR0000CPIH","2011","36.6853","-119.0","1237.5","PINEHURST CALIFORNIA, CA US","595.9","","595.9","U","0","U","63","U","0","U","158","U","41","U","-6.7","U,0227,","35.6","U,0923,+","0.0","U,1104","","","","","","","0.0","U,0516","-3.3","U,0409","-6.7","U,0227","-6.7","U,0227","","","2346.6","","2346.6","U","13.73","U","19.84","U","7.62","U"
