"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00115917","1941","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","108","6","70","6","","","","","0","6","67","6","16","6","169","6","43","6","-12.2","6,0119,","","","","","42.9",",6,1031,","37.8","6,0727,","0.0","6,1109","-2.2","6,1123","-4.4","6,1211","-7.2","6,1214","0.0","6,0325","-7.2","6,0318","-7.2","6,0318","-7.2","6,0318","-8.9","6,0223","896.3",",6","","","15.21","6","18.84","6","11.60","6"
"USC00115917","1942","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","114","6","70","6","","","","","","","","","","","","","","","","","","","","","69.9",",6,0619,","","","","","","","","","","","","","","","","","","","","","1135.2",",6","","","","","","","",""
"USC00115917","1943","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","95","6","57","6","","","","","","","","","","","","","","","","","","","","","98.0",",6,0517,","","","","","","","","","","","","","","","","","","","","","867.3",",6","","","","","","","",""
"USC00115917","1945","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","131","6","86","6","","","","","","","","","","","","","","","","","","","","","82.3",",6,0913,","","","","","","","","","","","","","","","","","","","","","1276.4",",6","","","","","","","",""
"USC00115917","1946","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","108","6","74","6","","","","","","","","","","","","","","","","","","","","","91.4",",6,1101,","","","","","","","","","","","","","","","","","","","","","1298.2",",6","","","","","","","",""
"USC00115917","1947","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","104","6","71","6","","","","","","","","","","","","","","","","","","","","","37.8",",6,0915,","","","","","","","","","","","","","","","","","","","","","793.1",",6","","","","","","","",""
"USC00115917","1948","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","113","0","78","0","","","11","0","","","","","","","","","","","","","","","178",",0,1224,","45.5",",0,1102,","","","","","","","","","","","","","","","","","","","","","1028.4",",0","663",",0","","","","","",""
"USC00115917","1949","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","107","0","68","0","5","","","","","","","","","","","","","","","","76",",0,0317,","","","56.9",",0,1011,","","","","","","","","","","","","","","","","","","","","","1107.6",",0","","","","","","","",""
"USC00115917","1950","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","111","0","81","0","26","","8","0","","","","","","","","","","","","","152",",0,1206,","117",",0,1206,","66.5",",0,0103,","","","","","","","","","","","","","","","","","","","","","1103.1",",0","398",",0","","","","","",""
"USC00115917","1951","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","121","0","81","0","32","","11","0","","","","","","","","","","","","","330",",0,1106,","318",",0,1106,","90.9",",0,0628,","","","","","","","","","","","","","","","","","","","","","972.6",",0","825",",0","","","","","",""
"USC00115917","1952","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","97","0","62","0","8","","6","0","","","","","","","","","","","","","76",",0,1202,+","51",",0,1202,+","59.7",",0,0610,","","","","","","","","","","","","","","","","","","","","","836.6",",0","280",",0","","","","","",""
"USC00115917","1953","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","78","0","53","0","10","","5","0","","","","","","","","","","","","","152",",0,0301,","152",",0,0301,","59.9",",0,0623,","","","","","","","","","","","","","","","","","","","","","697.5",",0","317",",0","","","","","",""
"USC00115917","1956","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887.5",",0","","","","","","","",""
"USC00115917","1957","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","96","0","77","0","","","1","0","","","","","","","","","","","","","","","28",",0,0131,","92.7",",0,0614,","","","","","","","","","","","","","","","","","","","","","1224.7",",0","92",",0","","","","","",""
"USC00115917","1958","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","66","0","50","0","","","","","","","","","","","","","","","","","","","","","50.8",",0,0727,+","","","","","","","","","","","","","","","","","","","","","844.5",",0","","","","","","","",""
"USC00115917","1959","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","77","0","64","0","","","","","","","","","","","","","","","","","","","","","51.3",",0,1104,","","","","","","","","","","","","","","","","","","","","","876.2",",0","","","","","","","",""
"USC00115917","1961","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","89","0","66","0","","","","","","","","","","","","","","","","","","","","","66.0",",0,0719,","","","","","","","","","","","","","","","","","","","","","966.9",",0","","","","","","","",""
"USC00115917","1962","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","85","0","71","0","","","","","","","","","","","","","","","","","","","","","47.2",",0,0501,","","","","","","","","","","","","","","","","","","","","","1011.5",",0","","","","","","","",""
