"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094893","1998","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","","","173.0","","173.0","W","","","","","20","W","173","W","64","W","129","W","4","W","-24.4","W,1230,+","","","36.1","W,0911,","-1.7","W,0922","-3.3","W,0923","-4.4","W,1015","-7.8","W,1112","-9.4","W,1121","-2.8","W,0605","-2.8","W,0605","-5.6","W,0428","-7.2","W,0405","-8.9","M,0324","","","","","","","7.07","W","13.31","W","0.83","W","","","","","","","",""
"USW00094893","1999","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","","","187.6","","187.6","W","128","W","58","W","30","W","190","W","72","W","114","W","3","W","-28.9","W,0115,+","74.4",",W,0714,","34.4","W,0730,","-0.6","W,0920","-2.2","W,0921","-4.4","W,1002","-7.8","W,1004","-8.9","W,1104","-0.6","W,0514","-2.8","W,0509","-7.8","W,0424","-7.8","W,0424","-15.0","W,0314","4522.0","","4522.0","W","753.7",",W","5.84","W","12.19","W","-0.51","W","310","W","300","W","19.7","W","25.9","W"
"USW00094893","2000","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.0","W","85.2","","85.2","W","147","W","60","W","40","W","194","W","88","W","112","W","1","W","-30.6","W,0212,","35.3",",W,0726,","32.8","W,0608,","-0.6","W,0916","-2.2","W,0924","-5.0","W,1028","-6.7","W,1117","-8.9","W,1118","-0.6","W,0603","-2.2","W,0520","-5.6","W,0422","-7.8","W,0412","-9.4","W,0410","4691.8","","4691.8","W","654.1",",W","4.98","W","11.35","W","-1.39","W","280","W","280","W","17.0","W","21.5","W"
"USW00094893","2001","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","198.5","","198.5","W","120","W","47","W","20","W","172","W","70","W","107","W","9","W","-29.4","W,0211,","22.9",",W,1124,","36.1","W,0808,","0.0","W,0914","-5.6","W,1006","-5.6","W,1006","-6.7","W,1105","-10.6","W,1209","-1.1","W,0530","-3.3","W,0428","-4.4","W,0419","-7.2","W,0404","-8.9","W,0328","4907.7","","4907.7","W","483.3",",W","6.46","W","12.48","W","0.43","W","190","W","180","W","20.1","W","24.6","W"
"USW00094893","2002","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","232.2","","232.2","W","131","W","68","W","12","W","206","W","79","W","112","W","12","W","-22.8","W,0202,","44.2",",W,1004,","35.6","W,0701,","-0.6","W,0928","-5.0","W,1013","-5.0","W,1013","-6.7","W,1014","-8.9","W,1016","-2.8","W,0525","-2.8","W,0525","-6.7","W,0520","-6.7","W,0520","-12.2","W,0406","4571.6","","4571.6","W","801.2",",W","5.63","W","11.38","W","-0.12","W","330","W","340","W","18.3","W","24.6","W"
"USW00094893","2003","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","138.0","","138.0","W","82","W","43","W","38","W","187","W","84","W","113","W","3","W","-31.1","W,0303,","39.4",",W,0803,","33.3","W,0625,","-2.2","W,0929","-2.2","W,0929","-5.0","W,1002","-6.7","W,1005","-11.7","W,1107","-1.7","W,0601","-2.8","W,0522","-5.0","W,0504","-7.2","W,0503","-9.4","W,0409","5150.3","","5150.3","W","398.3",",W","4.80","W","11.14","W","-1.53","W","320","W","330","W","17.4","W","23.2","W"
"USW00094893","2004","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.2","W","82.3","","82.3","W","125","W","56","W","43","W","185","W","76","W","101","W","0","W","-33.3","W,1225,","52.1",",W,0523,","31.7","W,0608,","-2.8","W,0929","-2.8","W,0929","-5.0","W,1004","-8.3","W,1108","-9.4","W,1109","-1.7","W,0528","-2.8","W,0515","-4.4","W,0505","-7.8","W,0503","-10.0","W,0413","4953.2","","4953.2","W","590.9",",W","4.72","W","11.02","W","-1.58","W","280","W","310","W","14.8","W","21.0","W"
"USW00094893","2005","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","2.9","B","253.2","","253.2","B","114","B","40","B","25","B","179","B","91","B","131","B","15","B","-31.1","B,0118,","63.8",",B,1005,","35.0","B,0717,+","-1.1","B,1007","-2.2","B,1008","-4.4","B,1021","-6.7","B,1111","-13.3","B,1117","-1.1","W,0516","-2.2","W,0512","-5.6","W,0504","-9.4","W,0326","-9.4","W,0326","4709.1","","4709.1","B","523.2",",B","6.27","B","12.56","B","-0.02","B","320","B","280","B","16.5","B","24.6","B"
"USW00094893","2006","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","2.9","W","188.0","","188.0","W","143","W","56","W","10","W","185","W","64","W","124","W","11","W","-28.8","W,0226,","36.8",",W,0801,+","37.2","W,0731,","-0.5","W,0910","-3.8","W,1010","-6.6","W,1024","-8.2","W,1025","-11.0","W,1130","-0.5","W,0523","-4.3","W,0522","-6.6","W,0506","-7.1","W,0409","-9.3","W,0326","4416.1","","4416.1","W","637.1",",W","6.57","W","12.71","W","0.44","W","330","W","320","W","14.8","W","20.6","W"
"USW00094893","2007","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","246.2","","246.2","W","72","W","34","W","34","W","178","W","91","W","127","W","10","W","-28.2","W,0306,","42.7",",W,1006,","35.0","W,0708,","-1.6","W,0915","-2.7","W,1012","-6.0","W,1025","-7.7","W,1109","-9.3","W,1122","0.0","W,0517","-3.2","W,0513","-6.0","W,0416","-7.1","W,0414","-12.7","W,0409","4618.5","","4618.5","W","335.3",",W","6.16","W","12.51","W","-0.20","W","210","W","280","W","16.5","W","22.8","W"
"USW00094893","2008","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.0","W","117.0","","117.0","W","97","W","32","W","45","W","189","W","96","W","111","W","2","W","-29.9","W,0221,","23.6",",W,0612,","32.8","W,0902,+","-1.0","W,1002","-4.3","W,1003","-6.0","W,1004","-7.1","W,1022","-9.9","W,1117","-3.2","W,0528","-3.2","W,0528","-5.5","W,0430","-8.2","W,0429","-9.9","W,0414","4968.1","","4968.1","W","278.9",",W","4.59","W","10.88","W","-1.69","W","310","W","330","W","16.5","W","21.5","W"
"USW00094893","2009","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","2.8","W","75.0","","75.0","W","117","W","40","W","44","W","193","W","81","W","108","W","2","W","-30.5","W,0127,","33.5",",W,1006,","33.9","W,0624,+","-1.6","W,0930","-3.8","W,1001","-6.0","W,1110","-8.2","W,1111","-9.3","W,1117","-1.0","W,0606","-4.3","W,0511","-6.0","W,0423","-8.8","W,0412","-9.3","W,0411","5135.7","","5135.7","W","442.0",",W","4.54","W","10.94","W","-1.86","W","310","W","300","W","16.1","W","21.0","W"
"USW00094893","2010","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","2.9","W","231.4","","231.4","W","120","W","55","W","11","W","171","W","78","W","119","W","5","W","-27.7","W,1215,","84.1",",W,0923,","33.9","W,0524,","-0.5","W,0919","-3.2","W,1003","-4.9","W,1031","-7.1","W,1105","-12.7","W,1125","0.0","W,0515","-4.9","W,0510","-4.9","W,0510","-7.1","W,0422","-14.3","W,0326","4449.5","","4449.5","W","817.6",",W","6.91","W","13.00","W","0.81","W","140","W","180","W","31.3","W","51.4","W"
"USW00094893","2011","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","2.9","W","205.5","","205.5","W","87","W","32","W","19","W","191","W","82","W","111","W","7","W","-28.2","W,0211,+","44.7",",W,0511,","35.6","W,0720,+","-1.0","W,0915","-3.2","W,0916","-5.5","W,1028","-7.1","W,1104","-9.3","W,1130","-3.2","W,0527","-3.2","W,0527","-4.9","W,0424","-7.1","W,0401","-9.9","W,0330","4859.8","","4859.8","W","335.9",",W","5.85","W","11.76","W","-0.07","W","340","W","290","W","17.0","W","21.9","W"
"USW00094893","2012","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.0","W","246.3","","246.3","W","77","W","31","W","11","W","173","W","56","W","130","W","17","W","-24.9","W,0121,","26.2",",W,1025,","35.0","W,0716,+","-1.6","W,0919","-2.7","W,1007","-6.6","W,1012","-7.1","W,1028","-14.9","W,1126","0.0","W,0513","-5.5","W,0429","-5.5","W,0429","-7.1","W,0427","-23.2","W,0305","4054.9","","4054.9","W","275.3",",W","7.55","W","14.06","W","1.04","W","360","W","350","W","16.5","W","22.8","W"
"USW00094893","2013","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.0","W","193.6","","193.6","W","94","W","48","W","39","W","193","W","91","W","119","W","7","W","-27.7","W,0217,","39.6",",W,0601,","34.4","W,0825,+","-0.5","W,0916","-2.7","W,1014","-7.1","W,1028","-7.1","W,1028","-9.3","W,1119","0.0","W,0525","-2.7","W,0524","-4.9","W,0513","-8.2","W,0420","-10.5","W,0414","4898.4","","4898.4","W","420.2",",W","4.68","W","10.70","W","-1.34","W","280","W","280","W","16.5","W","21.9","W"
"USW00094893","2014","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.2","W","117.2","","117.2","W","98","W","40","W","64","W","186","W","105","W","114","W","0","W","-32.7","W,0228,+","46.5",",W,0904,","31.1","W,0531,","-0.5","W,0922","-2.7","W,1010","-5.5","W,1022","-7.7","W,1101","-11.6","W,1112","-1.0","W,0518","-3.8","W,0506","-7.7","W,0423","-7.7","W,0423","-14.3","W,0416","5508.6","","5508.6","W","415.9",",W","3.44","W","9.54","W","-2.65","W","170","W","160","W","15.7","W","21.5","W"
"USW00094893","2015","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","167.3","","167.3","W","88","W","43","W","37","W","172","W","73","W","126","W","4","W","-31.6","W,0219,+","30.0",",W,0902,","32.8","W,0816,+","-0.5","W,0929","-4.3","W,1016","-6.0","W,1018","-8.2","W,1121","-11.0","W,1122","0.0","W,0601","-2.7","W,0522","-7.7","W,0424","-7.7","W,0424","-17.7","W,0328","5179.3","","5179.3","W","380.2",",W","5.98","W","12.15","W","-0.19","W","330","W","330","W","17.0","W","22.4","W"
"USW00094893","2016","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","196.5","","196.5","W","90","W","35","W","21","W","179","W","73","W","127","W","7","W","-29.3","W,0214,","62.2",",W,1017,","34.4","W,0722,","0.0","W,1008","-2.7","W,1013","-4.9","W,1025","-7.1","W,1112","-10.5","W,1121","-2.7","W,0518","-2.7","W,0518","-13.2","W,0409","-13.2","W,0409","-13.2","W,0409","4268.8","","4268.8","W","424.8",",W","6.89","W","12.88","W","0.90","W","330","W","340","W","17.4","W","22.8","W"
"USW00094893","2017","45.81833","-88.11444","350.2","IRON MOUNTAIN FORD AIRPORT, MI US","3.1","W","132.2","","132.2","W","102","W","45","W","20","W","182","W","69","W","114","W","1","W","-29.3","W,1228,","50.5",",W,0722,","32.2","W,0923,","0.0","W,0930","-2.7","W,1016","-7.1","W,1029","-7.1","W,1029","-13.2","W,1109","-1.0","W,0520","-3.8","W,0509","-7.1","W,0508","-7.1","W,0508","-14.3","W,0322","4321.0","","4321.0","W","565.2",",W","5.99","W","11.96","W","0.01","W","350","W","350","W","20.1","W","25.9","W"
