"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00341685","2010","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1140.2","","1140.2","0","0","0","76","0","10","0","215","0","71","0","-16.1","0,0109,","38.3","0,0814,+","-0.6","0,1105","-3.3","0,1106","-6.1","0,1126","-7.2","0,1201","","","-1.7","0,0322","-3.9","0,0303","-7.2","0,0224","-7.2","0,0224","-8.9","0,0130","","","","","746.5",",0","15.75","0","21.62","0","9.88","0"
"USC00341685","2011","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1469.3","","1469.3","K","2","K","79","K","13","K","224","K","103","K","-26.7","K,0210,","43.9","K,0803,","-1.1","K,1020","-3.9","K,1104","-6.1","K,1128","-7.8","K,1206","-9.4","K,1207","0.0","K,0331","-3.3","K,0315","-6.1","K,0306","-11.1","K,0211","-11.1","K,0211","1967.3","","1967.3","K","","","16.85","K","23.65","K","10.05","K"
"USC00341685","2012","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1332.6","","1332.6","7","0","7","55","7","3","7","232","7","91","7","-10.6","7,1229,+","45.0","7,0801,","-2.2","7,1027","-2.2","7,1027","-4.4","7,1112","-7.2","7,1210","-10.6","7,1226","-1.7","K,0309","-2.2","K,0225","-4.4","K,0214","-8.9","K,0212","-8.9","K,0212","1581.8","","1581.8","7","","","17.72","7","24.14","7","11.30","7"
"USC00341685","2013","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1024.1","","1024.1","7","0","7","94","7","11","7","192","7","60","7","-15.6","7,1207,","37.8","7,0710,","-0.6","7,1019","-2.8","7,1112","-7.8","7,1113","-7.8","7,1113","-12.2","7,1206","-0.6","7,0503","-7.2","7,0326","-7.2","7,0326","-7.2","7,0326","","","1990.3","","1990.3","7","","","15.06","7","21.03","7","9.09","7"
"USC00341685","2014","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1024.0","","1024.0","7","0","7","81","7","15","7","206","7","48","7","-17.2","7,0124,","37.2","7,0825,+","-1.7","7,1101","-2.2","7,1111","-6.1","7,1112","-6.7","7,1113","-8.9","7,1118","-1.7","7,0415","-2.8","7,0325","-4.4","7,0317","-10.6","7,0304","-10.6","7,0304","2273.0","","2273.0","7","","","15.12","7","21.24","7","9.00","7"
"USC00341685","2015","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1027.6","","1027.6","7","0","7","67","7","6","7","219","7","65","7","-14.4","7,0108,","37.2","7,0907,+","-0.6","7,1113","-2.8","7,1121","-4.4","7,1122","","","","","0.0","7,0307","-3.3","7,0306","-10.0","7,0305","-10.0","7,0305","-10.0","7,0305","1994.4","","1994.4","7","1235.8",",","16.10","7","22.08","7","10.11","7"
"USC00341685","2016","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1147.3","","1147.3","7","0","7","59","7","2","7","233","7","73","7","-16.7","7,1218,","36.1","7,0908,+","-3.3","7,1119","-3.3","7,1119","-7.2","7,1208","-7.2","7,1208","-10.6","7,1209","-1.1","7,0328","-2.2","7,0325","-4.4","7,0226","-10.0","7,0118","-10.0","7,0118","1576.3","","1576.3","7","836.9",",7","17.07","7","23.31","7","10.82","7"
"USC00341685","2017","35.6528","-96.8041","290.8","CHANDLER 5 SE MESONET, OK US","1032.0","","1032.0","7","1","7","58","7","5","7","240","7","50","7","-19.4","7,0107,","37.8","7,0722,","-1.7","7,1027","-2.8","7,1028","-5.6","7,1122","-7.8","7,1207","-10.6","7,1208","-1.7","7,0315","-2.2","7,0314","-5.6","7,0225","-8.9","7,0108","-8.9","7,0108","1495.1","","1495.1","7","","","16.75","7","23.00","7","10.50","7"
