"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00359588","2007","44.33","-124.0981","15.2","YACHATS, OR US","","","","","183","0","123","0","0","","0","0","","","","","0","0","5","0","0","0","","","0",",0,1231,+","0",",0,1231,+","109.0",",0,1203,","29.4","0,0909,","","","","","","","","","","","","","","","","","","","1920.8",",0","0",",0","","","13.91","0","",""
"USC00359588","2008","44.33","-124.0981","15.2","YACHATS, OR US","","","","","142","0","122","0","1","","0","0","","","","","","","","","","","","","25",",0,0127,","0",",0,1231,+","46.2",",0,1110,","","","","","","","","","","","","","","","","","","","","","1747.8",",0","0",",0","","","","","",""
"USC00359588","2009","44.33","-124.0981","15.2","YACHATS, OR US","","","","","118","0","97","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","73.9",",0,1215,","","","","","","","","","","","","","","","","","","","","","1524.2",",0","0",",0","","","","","",""
"USC00359588","2010","44.33","-124.0981","15.2","YACHATS, OR US","","","","","168","0","142","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","72.6",",0,0427,","","","","","","","","","","","","","","","","","2590.1","","2590.1","0","2438.6",",0","0",",0","","","","","",""
"USC00359588","2011","44.33","-124.0981","15.2","YACHATS, OR US","0.0","","0.0","7","169","7","128","7","","","","","0","7","5","7","0","7","6","7","0","7","-4.4","7,0226,","","","","","130.0",",7,0116,","24.4","7,1018,","-1.7","7,1212","","","","","","","-4.4","7,0226","-4.4","7,0226","-4.4","7,0226","","","","","1934.1",",7","","","10.58","7","13.67","7","7.50","7"
"USC00359588","2012","44.33","-124.0981","15.2","YACHATS, OR US","0.0","","0.0","7","188","7","148","7","","","","","0","7","5","7","0","7","3","7","0","7","-1.1","7,0227,","","","","","82.5",",7,0313,","22.2","7,1003,","","","","","","","","","0.0","7,0313","","","","","2762.1","","2762.1","7","2729.9",",7","","","10.50","7","13.54","7","7.46","7"
"USC00359588","2013","44.33","-124.0981","15.2","YACHATS, OR US","0.3","","0.3","7","169","7","107","7","","","","","0","7","14","7","0","7","10","7","0","7","-7.2","7,1208,+","","","","","47.0",",7,0930,","23.3","7,0901,","-2.2","7,1120","-2.2","7,1120","-6.7","7,1206","-6.7","7,1206","-1.7","7,0114","","","","","2823.7","","2823.7","7","1339.2",",7","","","10.53","7","13.61","7","7.45","7"
"USC00359588","2014","44.33","-124.0981","15.2","YACHATS, OR US","3.0","","3.0","7","160","7","118","7","","","","","0","7","9","7","0","7","8","7","0","7","-3.9","7,0206,","","","","","68.6",",7,1218,","29.4","7,0911,","-1.7","7,1129","-3.3","7,1230","","","","","-3.9","7,0206","-3.9","7,0206","","","2622.0","","2622.0","7","1959.9",",7","","","11.91","7","15.20","7","8.62","7"
"USC00359588","2015","44.33","-124.0981","15.2","YACHATS, OR US","0.3","","0.3","7","155","7","107","7","0","","0","7","0","7","1","7","0","7","10","7","0","7","-1.1","7,1125,","0",",7,1231,+","0","T,7,1213,+","87.4",",7,0207,","24.4","7,1005,+","-1.1","7,1125","","","","","","","","","","","","","2287.8","","2287.8","7","1865.0",",7","0","T,7","11.90","7","15.29","7","8.51","7"
"USC00359588","2016","44.33","-124.0981","15.2","YACHATS, OR US","0.3","","0.3","7","168","7","138","7","0","","0","7","0","7","4","7","0","7","9","7","0","7","-1.7","7,1206,","0",",7,1231,+","0","T,7,0313,+","112.0",",7,1125,","27.2","7,0825,","-1.7","7,1206","","","","","","","0.0","7,0102","","","","","2271.6","","2271.6","7","2313.5",",7","0","T,7","11.80","7","15.26","7","8.34","7"
"USC00359588","2017","44.33","-124.0981","15.2","YACHATS, OR US","3.6","","3.6","7","171","7","138","7","0","","1","7","0","7","6","7","0","7","12","7","0","7","-3.9","7,0105,+","0",",7,1231,+","76",",7,0104,","80.5",",7,0315,","29.4","7,0927,","","","","","","","","","-0.6","7,0113","-2.8","7,0106","","","2596.4","","2596.4","7","2467.4",",7","76",",7","11.70","7","15.08","7","8.30","7"
