"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043256","1999","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","859.3","","859.3","0","36","0","20","0","0","","0","0","0","0","19","0","0","0","211","0","95","0","-2.2","0,0110,","0",",0,1231,+","0",",0,1231,+","23.4",",0,0125,","40.6","0,0713,","-0.6","0,1208","","","0.0","0,0211","-2.2","0,0110","","","","","","","167.3",",0","0",",0","17.20","0","24.50","0","9.90","0"
"USC00043256","2000","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","","","","","48","0","32","0","0","","0","0","0","","7","0","","","","","","","-2.2","0,0103,","0",",0,1231,+","0",",0,1231,+","45.7",",0,0306,","","","","","","","-1.1","0,0109","-2.2","0,0103","","","968.2","","968.2","0","409.7",",0","0",",0","","","","","11.12","0"
"USC00043256","2001","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","","","","","43","0","32","0","0","","0","0","0","0","13","0","0","0","230","0","122","0","-5.0","0,0101,","0",",0,1231,+","0",",0,1231,+","30.5",",0,0111,","42.2","0,0704,","0.0","0,1215","","","-0.6","0,0208","-5.0","0,0101","-5.0","0,0101","","","","","333.3",",0","0",",0","18.38","0","25.55","0","11.21","0"
"USC00043256","2003","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1190.6","","1190.6","0","","","","","","","","","",""
"USC00043256","2004","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","1024.8","","1024.8","0","40","0","25","0","0","","0","0","0","0","16","0","0","0","218","0","111","0","-1.7","0,1203,+","0",",0,1231,+","0",",0,1231,+","31.8",",0,1231,","40.0","0,0909,+","0.0","0,1129","","","-1.1","0,0126","","","","","","","","","273.4",",0","0",",0","17.91","0","24.93","0","10.89","0"
"USC00043256","2005","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","","","","","68","0","36","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","33.8",",0,0506,","","","","","","","","","","","","","","","","","301.6",",0","0",",0","","","","","",""
"USC00043256","2006","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","1077.1","","1077.1","0","59","0","33","0","0","","0","0","0","0","16","0","0","0","210","0","102","0","-1.7","0,1219,","0",",0,1231,+","0",",0,1231,+","55.6",",0,0102,","43.9","0,0725,+","-1.1","0,1129","","","0.0","0,0304","","","","","1208.5","","1208.5","0","388.8",",0","0",",0","17.88","0","24.93","0","10.84","0"
"USC00043256","2007","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","1082.4","","1082.4","0","38","0","22","0","0","","0","0","0","0","31","0","0","0","233","0","110","0","-4.4","0,0115,","0",",0,1231,+","0",",0,1231,+","42.4",",0,1219,","42.2","0,0707,+","-1.7","0,1201","-2.2","0,1228","0.0","0,0124","-2.2","0,0119","-4.4","0,0115","1153.3","","1153.3","0","176.9",",0","0",",0","18.14","0","25.68","0","10.60","0"
"USC00043256","2008","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","1120.5","","1120.5","0","39","0","22","0","0","","0","0","0","0","10","0","0","0","222","0","105","0","-0.6","0,1228,+","0",",0,1231,+","0",",0,1231,+","16.5",",0,1126,","42.2","0,0623,","-0.6","0,1214","","","0.0","0,0130","","","","","1168.0","","1168.0","0","169.2",",0","0",",0","18.22","0","25.53","0","10.92","0"
"USC00043256","2009","36.7672","-119.7092","103.0","FRESNO 5 NE, CA US","1163.0","","1163.0","0","33","0","19","0","0","","0","0","0","0","9","0","0","0","219","0","107","0","-2.2","0,1209,","0",",0,1231,+","0",",0,1231,+","20.3",",0,1211,","42.8","0,0720,","-2.2","0,1209","-2.2","0,1209","0.0","0,0111","","","","","1172.4","","1172.4","0","172.8",",0","0",",0","18.28","0","25.56","0","11.00","0"
