"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024232","1893","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","25.5","","25.5","6","141","6","126","6","","","","","0","6","67","6","5","6","91","6","5","6","-8.3","6,0131,","","","","","76.2",",6,1129,","34.4","6,0901,+","0.0","6,1013","-5.0","6,1101","-5.0","6,1101","","","","","-1.7","6,0417","-3.9","6,0302","-6.1","6,0201","-8.3","6,0131","","","","","","","1247.3",",6","","","9.84","6","15.49","6","4.19","6","","","","","","","","","","","","","","","",""
"USW00024232","1894","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","122.2","","122.2","6","135","6","104","6","","","","","0","6","52","6","0","6","117","6","8","6","-6.7","6,0105,","","","","","48.5",",6,0113,","35.6","6,0826,+","-1.1","6,1011","-5.0","6,1116","-5.0","6,1116","","","","","-0.6","6,0509","-2.2","6,0321","-4.4","6,0223","-6.7","6,0105","","","2931.5","","2931.5","6","1205.8",",6","","","10.99","6","16.55","6","5.43","6","","","","","","","","","","","","","","","",""
"USW00024232","1896","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","134.1","","134.1","6","103","6","96","6","","","","","0","6","47","6","6","6","124","6","15","6","-11.1","6,1129,","","","","","91.4",",6,1108,","36.1","6,0719,","-1.7","6,1106","-2.8","6,1120","-8.9","6,1127","-8.9","6,1127","-8.9","6,1127","0.0","6,0417","-3.3","6,0331","-4.4","6,0304","","","","","2746.6","","2746.6","6","1395.6",",6","","","11.35","6","17.24","6","5.46","6","","","","","","","","","","","","","","","",""
"USW00024232","1897","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","","","","","","","","","","","","","0","6","45","6","","","","","","","-4.4","6,0312,+","","","","","","","","","0.0","6,1015","-3.9","6,1219","","","","","","","-2.2","6,0330","-2.2","6,0330","-4.4","6,0312","","","","","","","","","","","","","","","","","6.00","6","","","","","","","","","","","","","","","",""
"USW00024232","1898","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","","","","","126","6","93","6","","","","","","","","","","","","","","","","","","","","","55.9",",6,1017,","","","","","","","","","","","","","","","","","","","","","","","","","","","874.0",",6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024232","1899","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","70.6","","70.6","6","137","6","123","6","","","","","0","6","49","6","5","6","113","6","4","6","-16.1","6,0206,","","","","","40.6",",6,0228,","35.6","6,0726,","-3.9","6,1013","-3.9","6,1013","-5.0","6,1014","","","","","0.0","6,0606","-2.2","6,0413","-4.4","6,0207","-16.1","6,0206","-16.1","6,0206","2731.5","","2731.5","6","1223.2",",6","","","11.10","6","16.87","6","5.32","6","","","","","","","","","","","","","","","",""
"USW00024232","1900","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2352.1","","2352.1","6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024232","1903","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","71.5","","71.5","6","122","6","71","6","","","","","0","6","43","6","0","6","96","6","3","6","-5.0","6,0214,","","","","","50.8",",6,0124,","36.7","6,0607,","0.0","6,1202","-2.8","6,1209","","","","","","","-0.6","6,0412","-2.2","6,0217","-5.0","6,0214","","","","","","","","","624.1",",6","","","11.27","6","15.81","6","6.72","6","","","","","","","","","","","","","","","",""
"USW00024232","1904","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","177.5","","177.5","6","147","6","108","6","","","","","0","6","23","6","0","6","123","6","12","6","-2.2","6,1205,","","","","","40.1",",6,0215,","35.6","6,0720,","-1.1","6,1203","-2.2","6,1205","","","","","","","0.0","6,0331","","","","","","","","","2578.7","","2578.7","6","1068.9",",6","","","12.13","6","17.04","6","7.23","6","","","","","","","","","","","","","","","",""
"USW00024232","1905","44.905","-123.0011","62.5","SALEM AIRPORT MCNARY FIELD, OR US","","","133.0","","133.0","6","131","6","80","6","","","","","0","6","41","6","2","6","114","6","8","6","-7.8","6,0212,+","","","","","36.6",",6,0123,","37.8","6,0708,","-1.1","6,1018","-2.2","6,1210","","","","","","","-2.8","6,0330","-2.8","6,0330","-5.0","6,0215","-6.7","6,0213","","","2329.9","","2329.9","6","724.8",",6","","","11.67","6","16.56","6","6.78","6","","","","","","","","","","","","","","","",""
