"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093073","1999","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.8","W","10.0","","10.0","W","152","W","67","W","7","W","228","W","39","W","104","W","0","W","-22.8","W,0212,+","15.5",",W,1007,","30.0","W,0705,+","-0.6","W,0905","-3.9","W,0927","-7.2","W,0928","-7.2","W,0928","-8.9","W,1016","-0.6","W,0606","-3.9","W,0605","-4.4","W,0517","-7.8","W,0511","-11.1","W,0417","4642.3","","4642.3","W","453.3",",W","5.42","W","13.61","W","-2.76","W","180","W","190","W","19.7","W","23.2","W"
"USW00093073","2000","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.8","W","34.1","","34.1","W","136","W","62","W","15","W","207","W","47","W","128","W","0","W","-23.3","W,1118,","17.8",",W,0921,+","31.7","W,0801,+","-0.6","W,0923","-3.3","W,0924","-5.6","W,0925","-6.7","W,1015","-9.4","W,1105","0.0","W,0617","-6.1","W,0513","-6.1","W,0513","-7.8","W,0403","-12.8","W,0319","4407.0","","4407.0","W","424.9",",W","5.75","W","13.76","W","-2.26","W","190","W","200","W","14.8","W","26.4","W"
"USW00093073","2001","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.7","W","33.4","","33.4","W","122","W","49","W","20","W","208","W","54","W","127","W","0","W","-22.8","W,0209,","29.5",",W,0503,","31.7","W,0704,","-1.1","W,0908","-2.2","W,0909","-6.7","W,1010","-6.7","W,1010","-9.4","W,1024","-1.1","W,0615","-2.8","W,0522","-5.0","W,0521","-6.7","W,0504","-9.4","W,0319","4789.2","","4789.2","W","411.4",",W","5.73","W","13.71","W","-2.26","W","340","W","330","W","15.6","W","19.7","W"
"USW00093073","2002","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.9","W","63.5","","63.5","W","114","W","50","W","29","W","223","W","60","W","113","W","6","W","-26.7","W,0303,","21.6",",W,0918,","32.8","W,0713,+","0.0","W,0918","-3.3","W,1012","-7.8","W,1013","-7.8","W,1013","-10.0","W,1030","0.0","W,0526","-5.0","W,0523","-5.0","W,0523","-8.3","W,0509","-11.1","W,0320","4707.3","","4707.3","W","334.2",",W","5.07","W","13.34","W","-3.21","W","160","W","140","W","19.7","W","27.7","W"
"USW00093073","2003","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.7","W","74.7","","74.7","W","114","W","45","W","12","W","210","W","42","W","122","W","11","W","-22.8","W,0208,+","18.0",",W,0910,+","32.8","W,0814,+","0.0","W,0910","-2.8","W,0914","-4.4","W,0918","-7.2","W,1014","-10.0","W,1026","0.0","W,0608","-3.3","W,0512","-6.7","W,0510","-6.7","W,0510","-10.6","W,0408","4780.2","","4780.2","W","352.6",",W","5.91","W","13.78","W","-1.96","W","130","W","270","W","17.0","W","21.5","W"
"USW00093073","2004","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.8","W","12.3","","12.3","W","115","W","44","W","24","W","208","W","50","W","104","W","0","W","-25.0","W,0105,","20.1",",W,0409,","31.7","W,0713,","0.0","W,0828","-2.2","W,0915","-4.4","W,1022","-7.8","W,1023","-10.6","W,1101","0.0","W,0622","-3.9","W,0514","-4.4","W,0419","-7.8","W,0329","-8.9","W,0307","4552.5","","4552.5","W","341.1",",W","5.26","W","13.04","W","-2.51","W","170","W","260","W","17.9","W","21.9","W"
"USW00093073","2005","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.7","B","43.4","","43.4","B","131","B","55","B","13","B","210","B","37","B","110","B","5","B","-29.4","B,1208,","21.6",",B,1019,","33.3","B,0721,","-0.6","B,0915","-2.2","B,1005","-5.0","B,1031","-15.6","B,1115","-15.6","B,1115","-1.7","W,0611","-2.8","W,0512","-5.6","W,0421","-11.1","W,0401","-11.1","W,0401","4736.2","","4736.2","B","444.4",",B","5.69","B","13.33","B","-1.94","B","170","B","170","B","16.5","B","20.1","B"
"USW00093073","2006","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.7","W","42.3","","42.3","W","126","W","52","W","17","W","217","W","48","W","117","W","0","W","-26.0","W,1130,","20.3",",W,1128,","31.7","W,0716,","-1.0","W,0916","-3.2","W,0917","-6.6","W,1018","-11.0","W,1027","-11.0","W,1027","-1.0","W,0531","-2.7","W,0529","-5.5","W,0429","-8.2","W,0331","-9.9","W,0327","4580.2","","4580.2","W","361.6",",W","5.40","W","13.16","W","-2.37","W","180","W","160","W","18.3","W","22.8","W"
"USW00093073","2007","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","2.5","W","34.4","","34.4","W","118","W","43","W","22","W","213","W","55","W","117","W","0","W","-27.7","W,0115,","18.3",",W,1201,","31.1","W,0703,+","-2.7","W,0925","-2.7","W,0925","-7.1","W,1007","-7.1","W,1007","-11.0","W,1022","-2.7","W,0608","-2.7","W,0608","-4.9","W,0419","-7.7","W,0411","-9.3","W,0306","4821.8","","4821.8","W","374.7",",W","5.50","W","13.26","W","-2.25","W","180","W","170","W","16.5","W","23.7","W"
"USW00093073","2008","39.23","-106.87056","2353.1","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","130","W","47","W","","","","","","","","","","","","","21.8",",W,0723,","","","","","","","","","","","","","","","","","","","","","","","","","","","374.2",",W","","","","","","","","","","","","","",""
