"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012873","1999","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.5","W","","","","","133","W","71","W","","","","","","","","","","","","","","","","","","","","","66.0",",W,0818,","","","","","","","","","","","","","1062.5",",W","","","","","","","","","240","W","100","W","16.1","W","20.1","W"
"USW00012873","2000","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.8","W","2007.9","","2007.9","W","111","W","46","W","","","","","0","W","0","W","0","W","321","W","105","W","0.6","W,1231,","","","","","98.0",",W,0715,","37.2","W,0619,","","","","","","","174.5","","174.5","W","867.6",",W","","","23.13","W","28.00","W","18.26","W","180","W","190","W","20.1","W","24.1","W"
"USW00012873","2001","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.7","W","1903.7","","1903.7","W","112","W","56","W","","","","","0","W","1","W","0","W","322","W","66","W","-0.6","W,0105,","","","","","140.2",",W,0914,","33.9","W,0915,+","","","-0.6","W,0105","","","373.5","","373.5","W","1276.7",",W","","","22.88","W","27.40","W","18.35","W","210","W","210","W","19.7","W","26.4","W"
"USW00012873","2002","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.7","W","2073.0","","2073.0","W","130","W","76","W","","","","","0","W","0","W","0","W","309","W","92","W","0.6","W,0109,","","","","","122.2",",W,1209,","35.0","W,0603,+","","","","","","","224.3","","224.3","W","1571.2",",W","","","23.16","W","27.76","W","18.55","W","330","W","330","W","18.3","W","23.2","W"
"USW00012873","2003","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.5","W","1984.4","","1984.4","W","145","W","89","W","","","","","0","W","1","W","0","W","315","W","62","W","-2.2","W,0124,","","","","","100.3",",W,0425,","33.9","W,0921,+","","","-2.2","W,0124","-2.2","W,0124","355.6","","355.6","W","1756.3",",W","","","22.86","W","27.27","W","18.45","W","80","W","130","W","17.9","W","23.7","W"
"USW00012873","2004","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.8","W","1943.1","","1943.1","W","118","W","77","W","","","","","0","W","0","W","0","W","316","W","86","W","2.2","W,1215,","","","","","243.8",",W,0718,","34.4","W,0710,","","","","","","","262.5","","262.5","W","1856.3",",W","","","22.96","W","27.51","W","18.42","W","280","W","280","W","51.4","W","51.4","W"
"USW00012873","2005","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.8","B","2225.5","","2225.5","B","127","B","76","B","","","","","0","B","0","B","0","B","327","B","118","B","1.7","B,0124,","","","","","54.9",",B,0227,","35.6","B,0819,+","","","","","","","217.2","","217.2","B","1144.5",",B","","","23.84","B","28.30","B","19.38","B","120","B","140","B","19.7","B","25.9","B"
"USW00012873","2006","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.7","W","2132.4","","2132.4","W","102","W","60","W","","","","","0","W","0","W","0","W","327","W","87","W","2.2","W,0214,","","","","","210.6",",W,0203,","35.6","W,0802,","","","","","","","205.7","","205.7","W","1301.9",",W","","","23.66","W","28.29","W","19.03","W","200","W","180","W","20.1","W","27.3","W"
"USW00012873","2007","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.6","W","2155.7","","2155.7","W","114","W","56","W","","","","","0","W","0","W","0","W","331","W","99","W","5.0","W,0130,","","","","","77.7",",W,0802,","35.6","W,0829,+","","","","","","","185.0","","185.0","W","975.1",",W","","","23.94","W","28.34","W","19.54","W","190","W","200","W","19.7","W","22.8","W"
"USW00012873","2008","27.91056","-82.6875","3.4","ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US","3.6","W","2036.0","","2036.0","W","133","W","70","W","","","","","0","W","1","W","0","W","328","W","87","W","-0.5","W,0103,","","","","","56.6",",W,0406,","35.0","W,0911,+","","","-0.5","W,0103","","","159.1","","159.1","W","1156.1",",W","","","23.42","W","28.02","W","18.81","W","190","W","260","W","16.5","W","20.6","W"
