"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00084412","2006","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","0",",0","","","","","",""
"USC00084412","2007","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2233.2","","2233.2","0","132","0","84","0","0","","0","0","0","0","0","0","0","0","353","0","3","0","6.1","0,0219,+","0",",0,1231,+","0",",0,1231,+","101.6",",0,1001,","33.3","0,0807,","49.9","","49.9","0","1559.3",",0","0",",0","24.40","0","27.64","0","21.16","0"
"USC00084412","2008","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2234.6","","2234.6","0","106","0","59","0","0","","0","0","0","0","0","0","0","0","356","0","23","0","2.2","0,0103,","0",",0,1231,+","0",",0,1231,+","76.2",",0,0927,","33.9","0,0809,","28.3","","28.3","0","937.3",",0","0",",0","24.44","0","27.40","0","21.48","0"
"USC00084412","2009","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2490.0","","2490.0","0","104","0","64","0","0","","0","0","0","0","0","0","0","0","350","0","44","0","3.3","0,0205,","0",",0,1231,+","0",",0,1231,+","74.9",",0,0928,","34.4","0,0623,","62.0","","62.0","0","1052.9",",0","0",",0","25.01","0","28.20","0","21.82","0"
"USC00084412","2010","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","","","","","116","0","77","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","76.2",",0,0930,","","","","","","","1290.3",",0","0",",0","","","","","",""
"USC00084412","2011","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2685.5","","2685.5","7","86","7","57","7","","","","","0","7","0","7","0","7","358","7","52","7","7.2","7,0123,","","","","","279.9",",7,1009,","33.3","7,0827,+","97.0","","97.0","7","1236.2",",7","","","25.63","7","28.55","7","22.70","7"
"USC00084412","2012","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2478.6","","2478.6","7","132","7","83","7","","","","","0","7","0","7","0","7","351","7","27","7","6.1","7,0104,","","","","","179.1",",7,0711,","33.3","7,0911,+","22.0","","22.0","7","1877.7",",7","","","25.33","7","28.36","7","22.30","7"
"USC00084412","2013","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2653.3","","2653.3","7","135","7","76","7","","","","","0","7","0","7","0","7","354","7","21","7","8.9","7,0327,+","","","","","149.9",",7,0530,","33.3","7,0928,+","21.4","","21.4","7","1377.1",",7","","","25.67","7","28.57","7","22.77","7"
"USC00084412","2014","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","","","","","120","7","69","7","","","","","","","","","","","","","","","","","","","","","51.1",",7,0924,","","","","","","","983.3",",7","","","","","","","",""
"USC00084412","2015","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2800.6","","2800.6","7","105","7","64","7","","","","","0","7","0","7","0","7","345","7","39","7","5.0","7,0220,","","","","","113.3",",7,1206,","33.9","7,0427,","39.2","","39.2","7","1407.6",",7","","","26.17","7","28.88","7","23.46","7"
"USC00084412","2016","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","2598.0","","2598.0","7","122","7","72","7","","","","","0","7","0","7","0","7","351","7","55","7","8.9","7,0124,","","","","","66.5",",7,0325,","33.9","7,0713,","40.8","","40.8","7","1280.8",",7","","","25.47","7","28.41","7","22.53","7"
"USC00084412","2017","25.1936","-80.3493","3.0","JOHN PENNEKAMP STATE PARK, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","","10.8","7","","","","","","","","","",""
