"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0050S01S","1996","67.25","-150.18","317.0","COLDFOOT, AK US","","","","","83","T","83","T","","","","","","","","","","","","","","","","","25.4",",T,0715,+","","","","","","","","","","","","","","","","","","","","","","","","","","","493.5",",T","","","","","",""
"USS0050S01S","1997","67.25","-150.18","317.0","COLDFOOT, AK US","","","","","90","T","90","T","","","","","","","","","","","","","","","","","15.2",",T,0901,+","","","","","","","","","","","","","","","","","","","","","","","","","","","399.4",",T","","","","","",""
"USS0050S01S","1998","67.25","-150.18","317.0","COLDFOOT, AK US","","","","","95","T","95","T","","","","","","","","","","","","","","","","","30.5",",T,0616,","","","","","","","","","","","","","","","","","","","","","","","","","","","628.6",",T","","","","","",""
"USS0050S01S","1999","67.25","-150.18","317.0","COLDFOOT, AK US","","","","","81","T","81","T","","","","","","","","","","","","","","","","","30.5",",T,0717,","","","","","","","","","","","","","","","","","","","","","","","","","","","450.3",",T","","","","","",""
"USS0050S01S","2000","67.25","-150.18","317.0","COLDFOOT, AK US","","","","","97","T","97","T","","","","","","","","","","","","","","","","","27.9",",T,0123,","","","","","","","","","","","","","","","","","","","","","","","","","","","498.5",",T","","","","","",""
"USS0050S01S","2001","67.25","-150.18","317.0","COLDFOOT, AK US","0.8","","0.8","T","71","T","71","T","","","97","T","246","T","178","T","21","T","0","T","-44.0","T,1219,","","","25.4",",T,0814,","26.8","T,0624,","-1.6","T,0804","-4.0","T,0924","-6.1","T,0925","-9.0","T,1012","-9.0","T,1012","-0.6","T,0525","-3.0","T,0518","-4.4","T,0513","-8.1","T,0512","-10.3","T,0502","","","","","367.3",",T","-3.36","T","1.75","T","-8.47","T"
"USS0050S01S","2002","67.25","-150.18","317.0","COLDFOOT, AK US","5.0","","5.0","T","83","T","83","T","","","95","T","243","T","171","T","32","T","0","T","-47.0","T,0125,","","","20.3",",T,0426,","29.0","T,0719,","-2.5","T,0814","-2.5","T,0814","-17.8","T,0913","-17.8","T,0913","-17.8","T,0913","-0.5","T,0704","-2.7","T,0601","-10.9","T,0505","-10.9","T,0505","-10.9","T,0505","8094.9","","8094.9","T","442.8",",T","-2.99","T","2.44","T","-8.43","T"
"USS0050S01S","2003","67.25","-150.18","317.0","COLDFOOT, AK US","0.0","","0.0","T","","","","","","","107","T","248","T","164","T","30","T","0","T","-48.0","T,1202,","","","","","27.4","T,0720,","0.0","T,0807","-2.9","T,0905","-5.9","T,0906","-7.4","T,0916","-11.0","T,0918","-1.1","T,0728","-2.2","T,0521","-6.1","T,0517","-6.7","T,0506","-15.5","T,0420","7463.2","","7463.2","T","","","-3.73","T","1.75","T","-9.20","T"
"USS0050S01S","2004","67.25","-150.18","317.0","COLDFOOT, AK US","10.6","","10.6","T","75","T","75","T","226","","114","T","244","T","169","T","66","T","0","T","-46.8","T,1224,","914",",T,1224,+","33.0",",T,0813,","30.3","T,0630,+","-0.8","T,0826","-4.0","T,0903","-5.3","T,0905","-6.7","T,0907","-11.1","T,1001","-2.4","T,0521","-2.4","T,0521","-5.1","T,0508","-6.8","T,0423","-12.1","T,0419","7986.1","","7986.1","T","372.2",",T","-3.74","T","2.38","T","-9.86","T"
"USS0050S01S","2005","67.25","-150.18","317.0","COLDFOOT, AK US","","","","","86","T","86","T","","","","","","","","","","","","","","","","","30.5",",T,0711,","","","","","","","","","","","","","","","","","","","","","","","","","","","478.5",",T","","","","","",""
