"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043882","2000","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","58","0","48","0","0","","0","0","0","0","0","0","","","","","","","2.8","0,1114,+","0",",0,1231,+","0",",0,1231,+","72.6",",0,0213,","","","","","","","","","","","961.5",",0","0",",0","","","","","10.76","0"
"USC00043882","2001","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","54","0","48","0","0","","0","0","0","0","0","0","","","","","","","1.1","0,0421,+","0",",0,1231,+","0",",0,1231,+","53.6",",0,0224,","","","","","","","","","","","969.2",",0","0",",0","","","","","10.61","0"
"USC00043882","2002","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","37","0","31","0","0","","0","0","0","0","3","0","","","","","","","-0.6","0,0129,","0",",0,1231,+","0","T,0,0128,+","71.1",",0,1108,","","","","","0.0","0,0308","","","","","629.0",",0","0","T,0","","","","","10.19","0"
"USC00043882","2003","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","570.7","","570.7","0","49","0","39","0","0","","0","0","0","0","0","0","0","0","169","0","18","0","2.8","0,1228,+","0",",0,1231,+","0",",0,1231,+","60.7",",0,1230,","36.7","0,0921,+","","","","","1248.1","","1248.1","0","671.8",",0","0",",0","16.63","0","21.19","0","12.06","0"
"USC00043882","2004","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00043882","2005","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","59","0","45","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","66.0",",0,1222,","","","","","","","1387.9","","1387.9","","904.6",",0","0",",0","","","","","",""
"USC00043882","2006","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","62","0","42","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","69.9",",0,0102,","","","","","","","","","","","688.6",",0","0",",0","","","","","",""
"USC00043882","2007","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","36","0","28","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","71.1",",0,1218,","","","","","","","","","","","376.0",",0","0",",0","","","","","",""
"USC00043882","2008","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","34","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","95.3",",0,0125,","","","","","","","","","","","671.9",",0","0",",0","","","","","",""
"USC00043882","2009","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00043882","2010","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00043882","2012","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","464.4","","464.4","7","50","7","42","7","","","","","0","7","0","7","0","7","161","7","12","7","1.1","7,1219,+","","","","","67.3",",7,0121,","36.7","7,1014,+","","","","","","","","","712.9",",7","","","15.62","7","20.39","7","10.86","7"
"USC00043882","2013","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","419.8","","419.8","7","17","7","12","7","","","","","0","7","4","7","0","7","183","7","10","7","-0.6","7,0220,","","","","","25.4",",7,1127,+","38.9","7,0629,","0.0","7,1208","-0.6","7,0220","1342.8","","1342.8","7","156.7",",7","","","16.03","7","20.88","7","11.19","7"
"USC00043882","2014","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","489.2","","489.2","7","46","7","35","7","","","","","0","7","0","7","0","7","212","7","11","7","1.1","7,1231,","","","","","63.5",",7,1212,","36.1","7,1005,+","","","","","994.7","","994.7","7","570.2",",7","","","17.01","7","21.72","7","12.29","7"
"USC00043882","2015","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","501.3","","501.3","7","38","7","22","7","","","","","0","7","0","7","0","7","200","7","18","7","1.1","7,1229,","","","","","69.1",",7,1222,","36.1","7,0827,","","","","","1022.2","","1022.2","7","374.9",",7","","","16.64","7","21.52","7","11.76","7"
"USC00043882","2016","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","489.9","","489.9","7","58","7","44","7","","","","","0","7","0","7","0","7","163","7","21","7","1.1","7,1217,","","","","","82.6",",7,1216,","36.7","7,0628,+","","","","","1243.9","","1243.9","7","838.0",",7","","","16.10","7","20.82","7","11.38","7"
"USC00043882","2017","35.6841","-121.1683","465.1","HEARST CASTLE, CA US","598.5","","598.5","7","59","7","45","7","","","","","0","7","0","7","0","7","197","7","23","7","1.1","7,0223,","","","","","106.9",",7,0104,","41.7","7,0902,","","","","","1439.5","","1439.5","7","1041.9",",7","","","16.66","7","21.49","7","11.83","7"
